app,name,compiler,cycles
omp_parallel_for_benchmark,Sequqntial Duration,gcc,3
omp_parallel_for_benchmark,OpenMP Parallel Duration,gcc,24237
omp_parallel_for_benchmark,OpenMP Unrolled Parallel Duration,gcc,9461
barrier_benchmark,1 barriers,gcc,173
barrier_benchmark,2 barriers,gcc,230
barrier_benchmark,3 barriers,gcc,336
barrier_benchmark,4 barriers,gcc,431
barrier_benchmark,5 barriers,gcc,533
barrier_benchmark,6 barriers,gcc,634
barrier_benchmark,7 barriers,gcc,761
barrier_benchmark,8 barriers,gcc,848
barrier_benchmark,9 barriers,gcc,968
barrier_benchmark,10 barriers,gcc,1066
barrier_benchmark,11 barriers,gcc,1176
barrier_benchmark,12 barriers,gcc,1283
barrier_benchmark,13 barriers,gcc,1382
barrier_benchmark,14 barriers,gcc,1494
barrier_benchmark,15 barriers,gcc,1602
barrier_benchmark,16 barriers,gcc,1720
barrier_conv,Mempool barrier cycles,gcc,4973
barrier_conv,GOMP barrier cycles,gcc,4824
critical_benchmark,Manual Critical Duration,gcc,61
critical_benchmark,OMP Critical Duration,gcc,96
master_benchmark,Manual Master Duration,gcc,7
master_benchmark,OMP Master Duration,gcc,36
omp_overhead,Sequential Duration,gcc,3
omp_overhead,Static Duration,gcc,412
omp_overhead,Dynamic Duration,gcc,680
omp_overhead,Section Duration,gcc,740
omp_overhead,Startup time duration,gcc,261
omp_parallel_for_dynamic_benchmark,Sequqntial Duration,gcc,138659
reduction_benchmark,Sequential Duration,gcc,1758
reduction_benchmark,Manual Parallel1 Duration,gcc,353
reduction_benchmark,Manual Parallel2 Duration,gcc,13601
reduction_benchmark,OMP Static Duration,gcc,667
reduction_benchmark2,Static duration with 1 elements,gcc,593
reduction_benchmark2,Static duration with 2 elements,gcc,434
reduction_benchmark2,Static duration with 4 elements,gcc,422
reduction_benchmark2,Static duration with 8 elements,gcc,399
reduction_benchmark2,Static duration with 16 elements,gcc,395
reduction_benchmark2,Static duration with 32 elements,gcc,411
reduction_benchmark2,Static duration with 64 elements,gcc,421
reduction_benchmark2,Static duration with 128 elements,gcc,470
reduction_benchmark2,Static duration with 256 elements,gcc,627
reduction_benchmark2,Static duration with 512 elements,gcc,773
reduction_benchmark2,Static duration with 1024 elements,gcc,1207
reduction_benchmark2,Static duration with 2048 elements,gcc,1663
reduction_benchmark2,Static duration with 4096 elements,gcc,3206
reduction_benchmark2,Static duration with 8192 elements,gcc,6021
single_benchmark,Manual Single Duration,gcc,134
single_benchmark,OMP Single Duration,gcc,1068
omp_parallel_for_benchmark,Sequqntial Duration,llvm,17
omp_parallel_for_benchmark,OpenMP Parallel Duration,llvm,26424
omp_parallel_for_benchmark,OpenMP Unrolled Parallel Duration,llvm,13846
barrier_benchmark,1 barriers,llvm,72
barrier_benchmark,2 barriers,llvm,168
barrier_benchmark,3 barriers,llvm,248
barrier_benchmark,4 barriers,llvm,330
barrier_benchmark,5 barriers,llvm,411
barrier_benchmark,6 barriers,llvm,490
barrier_benchmark,7 barriers,llvm,571
barrier_benchmark,8 barriers,llvm,654
barrier_benchmark,9 barriers,llvm,735
barrier_benchmark,10 barriers,llvm,815
barrier_benchmark,11 barriers,llvm,897
barrier_benchmark,12 barriers,llvm,974
barrier_benchmark,13 barriers,llvm,1055
barrier_benchmark,14 barriers,llvm,1139
barrier_benchmark,15 barriers,llvm,1217
barrier_benchmark,16 barriers,llvm,1299
barrier_conv,Mempool barrier cycles,llvm,8620
barrier_conv,GOMP barrier cycles,llvm,8419
critical_benchmark,Manual Critical Duration,llvm,372
critical_benchmark,OMP Critical Duration,llvm,220
master_benchmark,Manual Master Duration,llvm,7
master_benchmark,OMP Master Duration,llvm,37
omp_overhead,Sequential Duration,llvm,3
omp_overhead,Static Duration,llvm,1161
omp_overhead,Dynamic Duration,llvm,1298
omp_overhead,Section Duration,llvm,1108
omp_overhead,Startup time duration,llvm,1223
