app,name,compiler,cycles
workload_benchmark,Sequential SPMV Duration with size 1,gcc,97
workload_benchmark,Static SPMV Duration with size 1,gcc,631
workload_benchmark,Dynamic SPMV Duration with size 1,gcc,1294
workload_benchmark,Sequential SPMV Duration with size 2,gcc,113
workload_benchmark,Static SPMV Duration with size 2,gcc,566
workload_benchmark,Dynamic SPMV Duration with size 2,gcc,1090
workload_benchmark,Sequential SPMV Duration with size 4,gcc,130
workload_benchmark,Static SPMV Duration with size 4,gcc,581
workload_benchmark,Dynamic SPMV Duration with size 4,gcc,1100
workload_benchmark,Sequential SPMV Duration with size 8,gcc,206
workload_benchmark,Static SPMV Duration with size 8,gcc,548
workload_benchmark,Dynamic SPMV Duration with size 8,gcc,1096
workload_benchmark,Sequential SPMV Duration with size 16,gcc,358
workload_benchmark,Static SPMV Duration with size 16,gcc,573
workload_benchmark,Dynamic SPMV Duration with size 16,gcc,1087
workload_benchmark,Sequential SPMV Duration with size 32,gcc,670
workload_benchmark,Static SPMV Duration with size 32,gcc,617
workload_benchmark,Dynamic SPMV Duration with size 32,gcc,1092
workload_benchmark,Sequential SPMV Duration with size 64,gcc,2400
workload_benchmark,Static SPMV Duration with size 64,gcc,913
workload_benchmark,Dynamic SPMV Duration with size 64,gcc,1234
workload_benchmark,Sequential SPMV Duration with size 128,gcc,8728
workload_benchmark,Static SPMV Duration with size 128,gcc,2389
workload_benchmark,Dynamic SPMV Duration with size 128,gcc,2287
workload_benchmark,Sequential SPMV Duration with size 256,gcc,32778
workload_benchmark,Static SPMV Duration with size 256,gcc,8108
workload_benchmark,Dynamic SPMV Duration with size 256,gcc,5493
workload_benchmark,Sequential SPMV Duration with size 512,gcc,138604
workload_benchmark,Static SPMV Duration with size 512,gcc,43621
workload_benchmark,Dynamic SPMV Duration with size 512,gcc,21190
workload_benchmark,Sequential SPMV Duration with size 1,llvm,51
workload_benchmark,Static SPMV Duration with size 1,llvm,1371
workload_benchmark,Dynamic SPMV Duration with size 1,llvm,2397
workload_benchmark,Sequential SPMV Duration with size 2,llvm,69
workload_benchmark,Static SPMV Duration with size 2,llvm,1124
workload_benchmark,Dynamic SPMV Duration with size 2,llvm,2674
workload_benchmark,Sequential SPMV Duration with size 4,llvm,111
workload_benchmark,Static SPMV Duration with size 4,llvm,1141
workload_benchmark,Dynamic SPMV Duration with size 4,llvm,2166
workload_benchmark,Sequential SPMV Duration with size 8,llvm,195
workload_benchmark,Static SPMV Duration with size 8,llvm,1145
workload_benchmark,Dynamic SPMV Duration with size 8,llvm,2328
workload_benchmark,Sequential SPMV Duration with size 16,llvm,363
workload_benchmark,Static SPMV Duration with size 16,llvm,1152
workload_benchmark,Dynamic SPMV Duration with size 16,llvm,2761
workload_benchmark,Sequential SPMV Duration with size 32,llvm,699
workload_benchmark,Static SPMV Duration with size 32,llvm,1181
workload_benchmark,Dynamic SPMV Duration with size 32,llvm,2838
workload_benchmark,Sequential SPMV Duration with size 64,llvm,2631
workload_benchmark,Static SPMV Duration with size 64,llvm,1603
workload_benchmark,Dynamic SPMV Duration with size 64,llvm,3143
workload_benchmark,Sequential SPMV Duration with size 128,llvm,9441
workload_benchmark,Static SPMV Duration with size 128,llvm,2127
workload_benchmark,Dynamic SPMV Duration with size 128,llvm,4179
workload_benchmark,Sequential SPMV Duration with size 256,llvm,34822
workload_benchmark,Static SPMV Duration with size 256,llvm,10069
workload_benchmark,Dynamic SPMV Duration with size 256,llvm,13273
workload_benchmark,Sequential SPMV Duration with size 512,llvm,145259
workload_benchmark,Static SPMV Duration with size 512,llvm,30647
workload_benchmark,Dynamic SPMV Duration with size 512,llvm,20619
