app,name,compiler,cycles
workload_benchmark,Sequential SPMV Duration with size 1,gcc,100
workload_benchmark,Static SPMV Duration with size 1,gcc,673
workload_benchmark,Dynamic SPMV Duration with size 1,gcc,1294
workload_benchmark,Sequential SPMV Duration with size 2,gcc,116
workload_benchmark,Static SPMV Duration with size 2,gcc,503
workload_benchmark,Dynamic SPMV Duration with size 2,gcc,1093
workload_benchmark,Sequential SPMV Duration with size 4,gcc,139
workload_benchmark,Static SPMV Duration with size 4,gcc,566
workload_benchmark,Dynamic SPMV Duration with size 4,gcc,1063
workload_benchmark,Sequential SPMV Duration with size 8,gcc,213
workload_benchmark,Static SPMV Duration with size 8,gcc,562
workload_benchmark,Dynamic SPMV Duration with size 8,gcc,1082
workload_benchmark,Sequential SPMV Duration with size 16,gcc,365
workload_benchmark,Static SPMV Duration with size 16,gcc,548
workload_benchmark,Dynamic SPMV Duration with size 16,gcc,1144
workload_benchmark,Sequential SPMV Duration with size 32,gcc,669
workload_benchmark,Static SPMV Duration with size 32,gcc,585
workload_benchmark,Dynamic SPMV Duration with size 32,gcc,1086
workload_benchmark,Sequential SPMV Duration with size 64,gcc,2399
workload_benchmark,Static SPMV Duration with size 64,gcc,903
workload_benchmark,Dynamic SPMV Duration with size 64,gcc,1214
workload_benchmark,Sequential SPMV Duration with size 128,gcc,8732
workload_benchmark,Static SPMV Duration with size 128,gcc,2378
workload_benchmark,Dynamic SPMV Duration with size 128,gcc,2074
workload_benchmark,Sequential SPMV Duration with size 256,gcc,32774
workload_benchmark,Static SPMV Duration with size 256,gcc,8066
workload_benchmark,Dynamic SPMV Duration with size 256,gcc,5292
workload_benchmark,Sequential SPMV Duration with size 512,gcc,138608
workload_benchmark,Static SPMV Duration with size 512,gcc,43642
workload_benchmark,Dynamic SPMV Duration with size 512,gcc,21219
workload_benchmark,Sequential MM Duration with size 1,gcc,75
workload_benchmark,Parallel MM Duration with size 1,gcc,466
workload_benchmark,Sequential MM Duration with size 2,gcc,174
workload_benchmark,Parallel MM Duration with size 2,gcc,457
workload_benchmark,Sequential MM Duration with size 4,gcc,831
workload_benchmark,Parallel MM Duration with size 4,gcc,644
workload_benchmark,Sequential MM Duration with size 8,gcc,6057
workload_benchmark,Parallel MM Duration with size 8,gcc,1195
workload_benchmark,Sequential MM Duration with size 16,gcc,46001
workload_benchmark,Parallel MM Duration with size 16,gcc,3368
workload_benchmark,Sequential MM Duration with size 32,gcc,359745
workload_benchmark,Parallel MM Duration with size 32,gcc,24273
workload_benchmark,Sequential Dot Product duration with 1 elements,gcc,44
workload_benchmark,Static Dot Product duration with 1 elements,gcc,434
workload_benchmark,Sequential Dot Product duration with 2 elements,gcc,50
workload_benchmark,Static Dot Product duration with 2 elements,gcc,391
workload_benchmark,Sequential Dot Product duration with 4 elements,gcc,77
workload_benchmark,Static Dot Product duration with 4 elements,gcc,409
workload_benchmark,Sequential Dot Product duration with 8 elements,gcc,103
workload_benchmark,Static Dot Product duration with 8 elements,gcc,397
workload_benchmark,Sequential Dot Product duration with 16 elements,gcc,199
workload_benchmark,Static Dot Product duration with 16 elements,gcc,465
workload_benchmark,Sequential Dot Product duration with 32 elements,gcc,385
workload_benchmark,Static Dot Product duration with 32 elements,gcc,413
workload_benchmark,Sequential Dot Product duration with 64 elements,gcc,711
workload_benchmark,Static Dot Product duration with 64 elements,gcc,423
workload_benchmark,Sequential Dot Product duration with 128 elements,gcc,1409
workload_benchmark,Static Dot Product duration with 128 elements,gcc,532
workload_benchmark,Sequential Dot Product duration with 256 elements,gcc,2775
workload_benchmark,Static Dot Product duration with 256 elements,gcc,601
workload_benchmark,Sequential Dot Product duration with 512 elements,gcc,5532
workload_benchmark,Static Dot Product duration with 512 elements,gcc,746
workload_benchmark,Sequential Dot Product duration with 1024 elements,gcc,11041
workload_benchmark,Static Dot Product duration with 1024 elements,gcc,1209
workload_benchmark,Sequential Dot Product duration with 2048 elements,gcc,22049
workload_benchmark,Static Dot Product duration with 2048 elements,gcc,1833
